primaryTitle;startYear;rtRating
The Day;2011;31%
Hell Baby;2013;31%
Cyborgs: Heroes Never Die;2017;
18am Padi;2019;
Salt and Fire;2016;31%
Agnathavasi - Prince in Exile;2018;
Super 30;2019;31%
Troll;1986;30%
Ruzgar;2018;
Mortal World;2018;
Sajjan Singh Rangroot;2018;
American Wisper;2020;
Ekkees Tareekh Shubh Muhurat;2018;
Zhan Du Xiao;2018;
Straight to Hell Returns;1987;30%
Fright Night Part 2;1988;30%
Jawani Phir Nahi Ani 2;2018;
Love Will Take Over;2018;
RoboCop 2;1990;30%
Awoken;2019;
Delirious;1991;30%
Dilan 1990;2018;
Root Cause;2019;
The Thirteenth Floor;1999;30%
Night of the Ghouls;1959;30%
Scooby-Doo;2002;30%
Deliha 2;2018;
My Thoughts Are Silent;2019;
Marigold;2007;30%
Battle Royale II;2003;30%
Sanctum;2011;30%
Cats;2018;
Sadak 2;2020;
Chekka Chivantha Vaanam;2018;
Let's Not Meet;2018;
Sheeple;2018;
We Die Young;2019;
Poltergeist;2015;30%
Gamer;2009;30%
The Turkey Bowl;2019;
Tagaru;2018;
12 Rounds;2009;30%
Ibiza;2019;
The Oogieloves in the Big Balloon Adventure;2012;30%
The Foundation of Criminal Excellence;2018;
Ready;2011;30%
Date and Switch;2014;30%
Amityville: The Awakening;2017;30%
Boys of Abu Ghraib;2014;30%
Summer in February;2013;30%
The Queen of Spain;2016;30%
Sabrina;2018;
Gravy;2015;30%
The Legend of Tomiris;2019;
Kolamavu Kokila;2018;
Avane Srimannarayana;2019;
Play;2019;
Soaked in Bleach;2015;30%
Mechanic: Resurrection;2016;30%
Bizarre;2015;30%
Baba Yaga: Terror of the Dark Forest;2020;
Jai Gangaajal;2016;30%
Carefree;2016;30%
Seema Raja;2018;
Praana;2019;
Tony: My Mentor the Serial Killer;2018;
Demon Eye;2019;
Parwaaz Hai Junoon;2018;
Madness in the Method;2019;30%
Watch If You Dare;2018;
Kanchana 3;2019;
Kannum Kannum Kollaiyadithaal;2020;
Sammohanam;2018;
Night of Knots;2018;
Little Women;2018;30%
Total Dhamaal;2019;30%
The Bad Nun;2018;
The Row;2018;
The Stand In;2020;30%
American Hero;2015;30%
Thank God It's Friday;1978;30%
Be With You;2018;
All About the Benjamins;2002;30%
Hollywood Homicide;2003;30%
Bela Lugosi Meets a Brooklyn Gorilla;1952;29%
Dr. Goldfoot and the Bikini Machine;1965;29%
Lady L;1965;29%
Hells Angels on Wheels;1967;29%
Born to Win;1971;29%
The Fortune;1975;29%
Dark Web: Cicada 3301;2021;
Deadly Eyes;1982;29%
The Incubus;1981;29%
Curse of the Pink Panther;1983;29%
The Redeemed and the Dominant: Fittest on Earth;2018;
Breakin' 2: Electric Boogaloo;1984;29%
18 Again!;1988;29%
The Fly II;1989;29%
El Hijo;2019;
The Rookie;1990;29%
If Looks Could Kill;1991;29%
Varathan;2018;
Year of the Gun;1991;29%
Soul Hunters;2019;
Silhouette;2019;
Traces of Red;1992;29%
The Temp;1993;29%
The Trump Prophecy;2018;
The Puppet Masters;1994;29%
Flight 666;2018;
Poslednee ispytanie;2018;
The Babysitter;1995;29%
One Day;2018;
The Huntress: Rune of the Dead;2019;
Njan Prakashan;2018;
Hugo Pool;1997;29%
Kissing a Fool;1998;29%
D-Railed;2018;
American Virgin;1999;29%
Okko's Inn;2018;
Coming Soon;1999;29%
Clockstoppers;2002;29%
One Must Fall;2018;
Forever Mine;1999;29%
Drowning Mona;2000;29%
Max Keeble's Big Move;2001;29%
5 Is the Perfect Number;2019;
It Runs in the Family;2003;29%
Club Dread;2004;29%
Trauma;2004;29%
Birbal Trilogy: Case 1 - Finding Vajramuni;2019;
Haami;2018;
Adanga Maru;2018;
Dragon Wars: D-War;2007;29%
Danika;2005;29%
Behind the Trees;2019;
Unaccompanied Minors;2006;29%
Forever Strong;2008;29%
Dear Comrade;2019;
Witnesses;2019;
Slacker Uprising;2007;29%
Bitch Slap;2009;29%
Women in Trouble;2009;29%
Human Centipede 2: Tom Six Discusses the Story Concept;2011;29%
S.P. Chauhan;2019;
Trafficked;2017;29%
Angels Sing;2012;29%
The Dinosaur Project;2012;29%
The Family Tree;2020;
Overdrive;2017;29%
Evening Installation;2019;
Chintu Ka Birthday;2020;
Beyond the Mask;2015;29%
Iron Sky: The Coming Race;2019;29%
Annabelle;2014;29%
Outlaws and Angels;2016;29%
Good Game: The Beginning;2018;
Don't Hang Up;2016;29%
The Warden;2019;
The Red Pill;2016;29%
All I See Is You;2016;29%
The War with Grandpa;2020;29%
Ekta;2019;
Innocent Witness;2019;
Almost Friends;2016;29%
The Rhythm Section;2020;29%
Geetha Govindam;2018;
The Silence;2019;29%
Hammamet;2020;
Leaving Afghanistan;2019;
An Affair to Die For;2019;
Strokes of Genius;2018;
June;2019;
The Rising Hawk;2019;29%
The Last Summer;2019;29%
Halloween at Aunt Ethel's;2019;
The Lost Prince;2020;29%
Qismat;2018;
Invoking 5;2018;
Chi La Sow?;2018;
The Alpines;2021;
Mikhael;2019;
Squirm;1976;29%
Bathroom Stalls & Parking Lots;2019;
The Resistance Fighter;2019;
The Viking War;2019;
Goodbye Lover;1998;29%
Ghost Killers vs. Bloody Mary;2018;
Crave;2012;29%
Legionnaire;1998;29%
Hammer of the Gods;2013;29%
Siccin 5;2018;
Super Mario Bros.;1993;28%
The Boondock Saints;1999;28%
Attack of the Unknown;2020;
Life or Something Like It;2002;28%
Remember Us;2018;
Torpedo;2019;
Lucky You;2007;28%
Charlie Boy;2021;
Ghosts of Girlfriends Past;2009;28%
Diablo. The race for everything;2019;
Vampire Killers;2009;28%
Se upp for Jonssonligan;2020;
Paranormal Activity: Next of Kin;2021;28%
Family of Thakurganj;2019;
Jupiter Ascending;2015;28%
Hababam Sinifi Yeniden;2019;
Resident Evil: Retribution;2012;28%
Valhalla - The Legend of Thor;2019;
UglyDolls;2019;28%
Vampires vs. the Bronx;2020;
Commando 3;2019;
Bad Johnson;2014;28%
Bob Biswas;2021;
Alien Abduction;2014;28%
Extraterrestrial;2014;28%
Unforgettable;2017;28%
Pitch Perfect 3;2017;28%
Tottaa Pataaka Item Maal;2019;
Excursion;2019;
If I Were Rich Man;2019;
Secret Obsession;2019;28%
Homestay;2018;
Jiu Jitsu;2020;28%
Barb Wire;1996;28%
Killer Therapy;2019;
Stunt School;2019;
Captain Corelli's Mandolin;2001;28%
New in Town;2009;28%
I Do... Until I Don't;2017;28%
The Seven Deadly Sins: Prisoners of the Sky;2018;
Juno and the Paycock;1929;27%
The Little Switzerland;2019;
Big Brother;2020;
Faces of Death;1978;27%
Jumpin' Jack Flash;1986;27%
Dennis the Menace;1993;27%
Andhaghaaram;2020;
Queen Marie of Romania;2019;
Leprechaun;1993;27%
The Favor;1994;27%
Dark Light;2019;
Limbo;2020;
My Girl 2;1994;27%
Burn the Stage: The Movie;2018;
Hanum & Rangga;2018;
Ittymaani: Made in China;2019;
The Amazing Panda Adventure;1995;27%
Drive Me Crazy;1999;27%
All the Rage;1999;27%
How to Deal;2003;27%
Dolly Kitty and Those Twinkling Stars;2019;
Constantine: City of Demons - The Movie;2018;
A Day Without a Mexican;2004;27%
House of Wax;2005;27%
Clash of the Titans;2010;27%
Splinterheads;2009;27%
Bigfoot Family;2020;
Why Did I Get Married Too?;2010;27%
Make Us Dream;2018;
Remember Me;2010;27%
Bel Ami;2012;27%
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson;2019;
The Sorcerer and the White Snake;2011;27%
The Man Inside;2012;27%
Sharmaji Ki Lag Gai;2019;
Murder of a Cat;2014;27%
Rattlesnake;2019;
Don't Stop Me Now;2019;
Driving Licence;2019;
Uyare;2019;
Captive;2015;27%
A Soldier's Revenge;2020;
Mulshi Pattern;2018;
Maara;2021;
Havenhurst;2016;27%
Oh Baby;2019;
Zero;2018;27%
Breaking In;2018;27%
Helicopter Eela;2018;27%
Debt Fees;2019;
Ghost;2019;
The Car: Road to Revenge;2019;
Burglar;1987;27%
Tankers;2018;
Shocker;1989;27%
Ass Backwards;2013;27%
A Perfect Enemy;2020;
The Vault;2017;27%
Ishq;2019;
The Wilde Wedding;2017;27%
Beer League;2006;27%
Sandy Wexler;2017;27%
Play or Die;2019;
Richie Rich;1994;26%
Charlotte The Return;2019;
Daylight;1996;26%
Alien Warfare;2019;
Mary Reilly;1996;26%
Diamonds;1999;26%
Pogaru;2021;
Saving Leningrad;2019;
Chaal Jeevi Laiye;2019;
Gun Shy;2000;26%
I Love You, Now Die: The Commonwealth v. Michelle Carter;2019;
Bait;2000;26%
The Sweetest Thing;2002;26%
Trauma Center;2019;
The Team;2019;
Ghost Rider;2007;26%
Amy's Orgasm;2001;26%
Black Beach;2020;
The Stepford Wives;2004;26%
Nerkonda Paarvai;2019;
Hoot;2006;26%
Madea's Family Reunion;2006;26%
School for Scoundrels;2006;26%
Drillbit Taylor;2008;26%
Gemini Man;2019;26%
Brick Mansions;2014;26%
Fauji Calling;2021;
Mareld;2019;
Wrath of the Titans;2012;26%
Vellam;2021;
G-Loc;2020;
The Samaritan;2012;26%
The Duel;2016;26%
Love Struck Sick;2019;
Two of Us;2019;
90 Minutes in Heaven;2015;26%
Night School;2018;26%
Wild Mountain Thyme;2020;26%
Kaithi;2019;
Land of the Lost;2009;26%
The Marriage Escape;2020;
Green Lantern;2011;26%
A Man There Was;1917;
The Hand;1981;26%
Free Zone;2005;26%
Barely Lethal;2015;26%
Casino Royale;1967;25%
Custer of the West;1967;25%
Hercules;1983;25%
Reform School Girls;1986;25%
Hard Ticket to Hawaii;1987;25%
Penn & Teller Get Killed;1989;25%
Impulse;1990;25%
Randy Rides Alone;1934;
The Butcher's Wife;1991;25%
Love Potion No. 9;1992;25%
They Were Five;1936;
Nine Months;1995;25%
The Evening Star;1996;25%
Hellraiser: Bloodline;1996;25%
Confession;1937;
Booty Call;1997;25%
The Dawn Patrol;1938;
A Simple Wish;1997;25%
Charlie Chan at Treasure Island;1939;
The Million Dollar Hotel;2000;25%
Bones;2001;25%
Simpatico;1999;25%
The Grapes of Wrath;1940;
Ash Wednesday;2002;25%
Aniki Bobo;1942;
Snow Dogs;2002;25%
No Good Deed;2002;25%
Blade: Trinity;2004;25%
So Proudly We Hail!;1943;
The Punch Bowl;1944;
The Lodger;1944;
Four Christmases;2008;25%
Mrs. Parkington;1944;
Slipstream;2007;25%
Christmas in Connecticut;1945;
Syrup;2013;25%
The Valley of Decision;1945;
Conan the Barbarian;2011;25%
Sister Kenny;1946;
Splintered;2010;25%
Alone;2020;25%
Peep World;2010;25%
3-D Sex and Zen: Extreme Ecstasy;2011;25%
Conference of Animals;2010;25%
Inside Out;2011;25%
No Man of Her Own;1950;
Inbred;2011;25%
Manny;2014;25%
Sleepless;2017;25%
Flight to Mars;1951;
Payment on Demand;1951;
The Prowler;1951;
Superman and the Mole-Men;1951;
Fifty Shades of Grey;2015;25%
The Holly and the Ivy;1952;
Broken Horses;2015;25%
Ben-Hur;2016;25%
Antisocial;2013;25%
Miss Meadows;2014;25%
The Benefactor;2015;25%
Late Chrysanthemums;1954;
Submerged;2016;25%
Jenny's Wedding;2015;25%
Anti-Social;2015;25%
Open Water 3: Cage Dive;2017;25%
Kiss Them for Me;1957;
The One That Got Away;1957;
The Three Faces of Eve;1957;
Army of One;2016;25%
The Defiant Ones;1958;
Jack Goes Home;2016;25%
Hercules Unchained;1959;
Above Suspicion;2019;25%
Proud Mary;2018;25%
Aquaslash;2019;25%
Voyagers;2021;25%
The Loves of Hercules;1960;
Sextette;1977;25%
Wilder Napalm;1993;25%
The Incredible Petrified World;1959;
The Leech Woman;1960;
El cantante;2006;25%
Stomp the Yard;2007;25%
The Fabulous Baron Munchausen;1962;
Bloodlust!;1961;
The Stranger;2014;25%
Snow White and the Three Stooges;1961;
Samson;2018;25%
Two Half-Times in Hell;1961;
Reptilicus;1961;25%
Flight of the Intruder;1991;25%
Koroleva benzokolonki;1963;
In Dreams;1999;25%
Saint John of Las Vegas;2009;25%
The Battle at Lake Changjin;2021;25%
Forest of the Hanged;1965;
The Reconstruction of William Zero;2014;25%
Phantom;2013;25%
A Blonde in Love;1965;
War and Peace, Part I: Andrei Bolkonsky;1965;
Gamera vs. Barugon;1966;
Queen of Blood;1966;
Tau;2018;25%
Beast of Burden;2018;25%
Nobody's Fool;2018;25%
The Deadly Bees;1966;
Face to Face;1967;
The Legacy;1978;24%
The January Man;1989;24%
Passenger 57;1992;24%
The Beverly Hillbillies;1993;24%
Ready to Wear;1994;24%
Flubber;1997;24%
Live a Little, Love a Little;1968;
The Runner;1999;24%
The Chairman;1969;
Eugenie;1970;
Loser;2000;24%
Bulletproof Monk;2003;24%
The Joke;1969;
Dorian Gray;1970;
Kelly's Heroes;1970;
Jeepers Creepers 2;2003;24%
There's a Girl in My Soup;1970;
Which Way to the Front?;1970;
Cheaper by the Dozen;2003;24%
Max and the Junkmen;1971;
Pakeezah;1972;
Straw Dogs;1971;
Bewitched;2005;24%
Even Money;2006;24%
The Magnificent Seven Ride!;1972;
Make It Happen;2008;24%
Rapture-Palooza;2013;24%
Cabin Fever 3: Patient Zero;2014;24%
The Great Ecstasy of Woodcarver Steiner;1974;
Tammy;2014;24%
Marauders;2016;24%
The Neptune Factor;1973;
Charming;2018;24%
7 Days in Entebbe;2018;24%
Stateside;2004;24%
The Dilemma;2011;24%
Lone Wolf and Cub: White Heaven in Hell;1974;
Collide;2016;24%
The Food of the Gods;1976;24%
Amici miei;1975;
The Battle of Chile: Part I;1975;
Barbed Wire Dolls;1976;
Just Before Nightfall;1971;
Masked and Anonymous;2003;24%
Crime Busters;1977;
Hop;2011;24%
The Green Slime;1968;23%
Grand Theft Auto;1977;23%
Spacehunter: Adventures in the Forbidden Zone;1983;23%
Child's Play 3;1991;23%
Born Yesterday;1993;23%
Sky Riders;1976;
Candyman: Farewell to the Flesh;1995;23%
The Sixth Man;1997;23%
Just the Ticket;1998;23%
News from Home;1976;
Soldier of Orange;1977;
Urban Legend;1998;23%
Emmanuelle 3;1977;
Dancing at the Blue Iguana;2000;23%
Ready to Rumble;2000;23%
John Q;2002;23%
Jiminy Glick in Lalawood;2004;23%
Freedomland;2006;23%
Evan Almighty;2007;23%
Failure to Launch;2006;23%
Kaala Patthar;1979;
Salvation Boulevard;2011;23%
Leap Year;2010;23%
Elles;2011;23%
The Secret Life of Nikola Tesla;1980;
Girl Most Likely;2012;23%
The Adderall Diaries;2015;23%
The Godsend;1980;
Zeroville;2019;23%
Vehicle 19;2013;23%
Blood Wedding;1981;
Expecting;2013;23%
Fruits of Passion;1981;
Who Pulled the Plug?;1981;
The Woman in Black 2: Angel of Death;2014;23%
Les sous-doues en vacances;1982;
Atomica;2017;23%
Don't Knock Twice;2016;23%
The House Where Evil Dwells;1982;
Brothers by Blood;2020;23%
Richard Pryor: Live on the Sunset Strip;1982;
Private Popsicle;1982;
Kabir Singh;2019;23%
I'll Be Home for Christmas;1998;23%
Go for It;1983;
Masoom;1983;
To All a Goodnight;1980;
See Spot Run;2001;23%
Paranormal Activity 4;2012;23%
DEFCON-4;1985;
A Summer at Grandpa's;1984;
The Pride and the Passion;1957;22%
Hurry Sundown;1967;22%
D.C. Cab;1983;22%
A.K.;1985;
Slaves of New York;1989;22%
Pulgasari;1985;
Freejack;1992;22%
Children of the Corn II: The Final Sacrifice;1992;22%
Black Moon Rising;1986;
Children of a Lesser God;1986;
The Real McCoy;1993;22%
Color of Night;1994;22%
Judge Dredd;1995;22%
Killer Workout;1987;
Let's Get Harry;1986;
My Chauffeur;1986;
Naam;1986;
Never Too Young to Die;1986;
Money Train;1995;22%
Race the Sun;1996;22%
The Invisible Circus;2001;22%
Wisdom;1986;
Enough;2002;22%
Alien Predator;1986;
Mr. Deeds;2002;22%
Sonny;2002;22%
Body Slam;1986;
Little Black Book;2004;22%
Mad Money;2008;22%
Sweet Girl;2021;22%
02:22;2017;22%
Hunk;1987;
Meeting Evil;2012;22%
My Demon Lover;1987;
Reasonable Doubt;2014;22%
The Seventh Dwarf;2014;22%
Slumber Party Massacre II;1987;
Compagni di scuola;1988;
Curse II: The Bite;1989;
The Sound and the Fury;2014;22%
Ghost Town;1988;
Ithaca;2015;22%
Submergence;2017;22%
Going Overboard;1989;
Love Jacked;2018;22%
Ghost House;2017;22%
The Perfect Match;2016;22%
R.O.T.O.R.;1987;
Azhar;2016;22%
Step Sisters;2018;22%
Bleeding Steel;2017;22%
City Life;1990;
The Dark Side of the Moon;1990;
Iron Mask;2019;22%
X-Men: Dark Phoenix;2019;22%
Guns;1990;
The Giant Gila Monster;1959;22%
Freddy's Dead: The Final Nightmare;1991;22%
Time Changer;2002;22%
Luther the Geek;1989;
Nightmare at Noon;1988;
Spread;2009;22%
Sabotage;2014;22%
Hiruko the Goblin;1991;
Abraxas, Guardian of the Universe;1990;
6 Below: Miracle on the Mountain;2017;22%
The Velocity of Gary;1998;22%
The Binge;2020;22%
The Sitter;2011;22%
Swordsman II;1992;
CrissCross;1992;
All's Well, Ends Well;1992;
Welcome to the Jungle;2013;22%
The Naked Truth;1992;
Passion Fish;1992;
Black Rose;2014;22%
From Karkheh to Rhein;1993;
Body Melt;1993;
Brandbilen som forsvann;1993;
Big Kill;2019;22%
My Stepmother Is an Alien;1988;21%
V.I. Warshawski;1991;21%
Doppelganger;1993;
Son in Law;1993;21%
Khalnayak;1993;
The Air Up There;1994;21%
The Stupids;1996;21%
Schramm: Into the Mind of a Serial Killer;1993;
RocketMan;1997;21%
A.P.E.X.;1994;
Air Bud: Golden Receiver;1998;21%
Little Nicky;2000;21%
Highlander: The Final Dimension;1994;
Crime + Punishment in Suburbia;2000;21%
Thomas and the Magic Railroad;2000;21%
Balls of Fury;2007;21%
Uncovered;1994;
Phat Girlz;2006;21%
The Black Waters of Echo's Pond;2009;21%
Thunder Force;2021;21%
Resident Evil: Afterlife;2010;21%
Teenage Mutant Ninja Turtles;2014;21%
Darling Companion;2012;21%
Into the Storm;2014;21%
Rangeela;1995;
Final Hour;1995;
The Canyons;2013;21%
Below Her Mouth;2016;21%
Intrusion;2021;21%
Nerdland;2016;21%
Miss Bala;2019;21%
Perfect;2018;21%
The Hunters;1996;
Ringmaster;1998;21%
Winter Bay;1996;
All Stars;1997;
Alien vs. Predator;2004;21%
Csinibaba;1997;
The Eighteenth Angel;1997;
Fakin' Da Funk;1997;
Fred Claus;2007;21%
Looking Glass;2018;21%
Me You Madness;2021;21%
Shadow of Doubt;1998;
True Heart;1999;
Sunset;1988;21%
April Captains;2000;
Woe to the Young;1961;
Sue;1997;
I pompieri;1985;
Buttoners;1997;
Train Birds;1998;
An Average Little Man;1977;
The Redeemer: Son of Satan!;1978;
Eternal;2004;21%
The Widower;1959;
The Adventures of Rocky & Bullwinkle;2000;
Ground Control;1998;
The Deal;2005;21%
Lone Wolf and Cub: Baby Cart in the Land of Demons;1973;
Books of Blood;2020;21%
Judy Moody and the Not Bummer Summer;2011;21%
The Giant Behemoth;1959;20%
Rudra Veena;1988;
The Millionairess;1960;20%
The Rose Seller;1998;
The Killing of America;1981;
The Tough Ones;1999;
Clambake;1967;20%
When Dinosaurs Ruled the Earth;1970;20%
Demons;1971;
More American Graffiti;1979;20%
The Protector;1985;20%
Eye of the Tiger;1986;20%
After the Rain;1999;
Turist Omer Uzay Yolu'nda;1973;
The Lady and the Tramp;1968;
Maden;1978;
Snow Day;2000;
All About My Mother;1999;
Lovers Lane;1999;
Iron Eagle;1986;20%
Poltergeist II: The Other Side;1986;20%
Otto - Der Katastrofenfilm;2000;
Bridge of Dragons;1999;
The Shrink Is In;2001;
Children of Men;2006;
Mannequin;1987;20%
The Weight of Water;2000;
Sibling Rivalry;1990;20%
Zakhm;1998;
Berlin Calling;2008;
The Bus;1975;
Mohabbatein;2000;
The Red Ribbon;1999;
Lucky 13;2005;
Angel Eyes;2001;
Greedy Guts;2000;
Mikey;1992;20%
Clouds of May;1999;
Frank & Jesse;1994;20%
Deep in the Woods;2000;
Lurking Fear;1994;20%
Alai Payuthey;2000;
Of Love and Shadows;1994;20%
Hadh Kar Di Aapne;2000;
First Kid;1996;20%
Y tu mama tambien;2001;
Jingle All the Way;1996;20%
Kicked in the Head;1997;20%
Pushpaka Vimana;1987;
Wicked;1998;20%
Bekciler Krali;1979;
The Chaos Class Failed the Class;1976;
The Point Men;2001;
Felix the Cat: The Movie;1988;
Brainstorm;2000;
The Return;1972;
Sprung;1997;20%
Tempted;2001;
Black Angel;2002;
Real Fiction;2000;
Lara Croft: Tomb Raider;2001;20%
Costa!;2001;
Hidden Agenda;2001;
Vatsalyam;1993;
Black & White;1999;20%
Waiting for Godot;2001;
The White Sound;2001;
Cats;1998;20%
Intimate Stories;2002;
Varavelpu;1989;
Erkan & Stefan gegen die Machte der Finsternis;2002;
The Crew;2000;20%
Take Care of My Cat;2001;
Indian;2001;
Just Married;2003;
Lost in La Mancha;2002;
R.S.V.P.;2002;20%
The Tiger and the Snow;2005;20%
Quebec-Montreal;2002;
The Adventures of Sharkboy and Lavagirl 3-D;2005;20%
Employee of the Month;2006;20%
Suburban Mayhem;2006;20%
From Prada to Nada;2011;20%
Incendiary;2008;20%
Pinocchio 3000;2004;
Love Aaj Kal;2020;20%
Camp Slaughter;2004;
Pretty Bird;2008;20%
The Jack in the Box;2019;20%
Mother of Mine;2005;
I, Robot;2004;
The Gleaners and I: Two Years Later;2002;
Sardar Ka Grandson;2021;20%
Nemesis;2021;20%
Delhi Safari;2012;20%
Ripoux 3;2003;
Ek Hasina Thi;2004;
Meesha Madhavan;2002;
Gulliver's Travels;2010;20%
The Prodigies;2011;20%
The Adventurer: The Curse of the Midas Box;2013;20%
Outpost: Black Sun;2012;20%
The Traveler;2010;20%
Repeaters;2010;20%
Ben & Arthur;2002;
The Red Colored Grey Truck;2004;
Free Birds;2013;20%
Stolen;2012;20%
Tarzan;2013;20%
Get Married If You Can;2014;20%
Stage Beauty;2004;
Ong-Bak: The Thai Warrior;2003;
Autumn Blood;2013;20%
I Will Follow You Into the Dark;2012;20%
The Wendell Baker Story;2005;
The Barber;2014;20%
Nandha;2001;
A Turtle's Tale 2: Sammy's Escape from Paradise;2012;20%
King's Game;2004;
Yuva;2004;
Cry Wolf;2005;
The Lookalike;2014;20%
Panchatanthiram;2002;
Tevar;2015;20%
The Grudge;2020;20%
It's All Gone Pete Tong;2004;
The Shaukeens;2014;20%
The Dog Lover;2016;20%
Savva. Serdtse voina;2015;20%
InuYasha the Movie 3: Swords of an Honorable Ruler;2003;
Cattle Call;2006;
Pyaar Ka Punchnama 2;2015;20%
Million Dollar Baby;2004;
Risen;2021;20%
Shankar Dada MBBS;2004;
Pitchfork;2016;20%
The Black Box;2005;
Beneath Us;2019;20%
The Promise;2005;
American Night;2021;20%
Yesterday;2004;
Donkey Xote;2007;
Wounded Love;2004;
Blind Man's Bluff;2005;
Where's the Money;2017;20%
The Die Is Cast;2005;
Alien Abduction;2005;
Fifty Pills;2006;
Missing;2018;20%
Live Free or Die;2006;
Dark Ride;2006;
Perdida;2018;20%
Bob Lazar: Area 51 & Flying Saucers;2018;20%
Enemy Lines;2020;20%
Feds;1988;20%
Young, Single & Angry;2006;
Party Crashers;2012;
Pterodactyl;2005;
Cash;2007;20%
The Day the Earth Stood Still;2008;20%
K-11;2012;20%
The Other Half;2006;
Bad Ass;2012;20%
Swearnet: The Movie;2014;20%
Alien Outpost;2014;20%
Military Academy;2007;
Broken;2006;
Turkey Shoot;2014;20%
Stroker Ace;1983;20%
The Ring Two;2005;20%
Summer Rain;2006;
Madame Claude;2021;20%
Main, Meri Patni... Aur Woh!;2005;
Pal Pal Dil Ke Paas;2019;20%
Maskeli Besler: Intikam Pesinde;2005;
Thackeray;2019;20%
Going to Pieces: The Rise and Fall of the Slasher Film;2006;
The Jazz Singer;1980;19%
Perfect;1985;19%
Sekerpare;1983;
Red Sonja;1985;19%
Navy Seals;1990;19%
Sirens in the Aegean;2005;
A Millionaire's First Love;2006;
Clean Slate;1994;19%
Night of the Templar;2013;
Aathi;2006;
The Sun Also Rises;2007;
Terminal Velocity;1994;19%
Hotel for Dogs;2009;
Jungle 2 Jungle;1997;19%
We're All Christs;2006;
Extreme Movie;2008;
Turks in Space;2006;
My Giant;1998;19%
Hacking Democracy;2006;
Pokiri;2006;
The Tattooist;2007;
A Dirty Carnival;2006;
Thunderbirds;2004;19%
Love Stinks;1999;19%
Cease Fire;2006;
Jason X;2001;19%
Angels of the Sun;2006;
S.O.S. szerelem!;2007;
Collateral Damage;2002;19%
The Life of David Gale;2003;19%
Downloading Nancy;2008;19%
Roman de gare;2007;
Before Flying Back to Earth;2005;
Blonde and Blonder;2008;
Passengers;2008;19%
The Perfect Holiday;2007;19%
I Hope They Serve Beer in Hell;2009;19%
The Big Bang;2010;19%
You Again;2010;19%
Blind;2016;19%
Wake;2009;
Zero. Lilac Lithuania;2006;
Chernobyl Diaries;2012;19%
Madea's Witness Protection;2012;19%
Bliss;2007;
Ingenious;2009;
Keeping Up with the Joneses;2016;19%
Diablo;2015;19%
The Virtuoso;2021;19%
Hata Goteborg;2007;
Thugs of Hindostan;2018;19%
The Haunting of Sharon Tate;2019;19%
Headless Horseman;2007;
Hurt;2009;
Endless Bummer;2009;
Who Killed Garrett Phillips?;2019;
Stardust;2020;19%
Thanneermathan Dinangal;2019;
Graffiti Bridge;1990;19%
Monkeybone;2001;19%
She Hate Me;2004;19%
Detective Conan: Countdown to Heaven;2001;
Jack and the Beanstalk;2009;
Joe's Apartment;1996;19%
Teaching Mrs. Tingle;1999;19%
Saving Silverman;2001;19%
The Invasion;2007;19%
The Hitcher;2007;19%
Oh My Kadavule;2020;
All of Us;2019;
I Saw the Light;2015;19%
The Human Centipede III (Final Sequence);2015;19%
Euphoria;2017;19%
Abelar: Tales of an Ancient Empire;2010;
Two of a Kind;1983;18%
Transylvania 6-5000;1985;18%
Cobra;1986;18%
The Devil's Ground;2009;
Teen Patti;2010;
Boiling Point;1993;18%
The Graves;2009;
Boogeyman 3;2008;
Fatal Instinct;1993;18%
Trippin';1999;18%
Breathing Room;2008;
Miracle of Giving Fool;2008;
Lucky Luke;2009;
Laws of Attraction;2004;18%
Sex, Drugs & Bicycles;2020;
Dark House;2009;
Paparazzi;2004;18%
Brain Drain;2009;
Kenny Begins;2009;
Soul Plane;2004;18%
Monster-in-Law;2005;18%
Living in Emergency;2008;
The Policeman of the 16th Precinct;2008;
The Keeper;2009;
Shadowboxer;2005;18%
Secrets of the Saqqara Tomb;2020;
Firewall;2006;18%
The Marine;2006;18%
Aapthamitra;2004;
Mimi;2021;18%
Stand by Me Doraemon 2;2020;
Kya Meri Sonam Gupta Bewafa Hai;2021;
Lay the Favorite;2012;18%
Gagma napiri;2009;
The Forger;2012;
Pride and Prejudice and Zombies;2016;
The Dead;2010;
Dance Flick;2009;18%
All I Wish;2017;18%
Asalem Jarigindi;2021;
The Crypt;2009;
Vampire Girl vs. Frankenstein Girl;2009;
Coursier;2010;
A Few Best Men;2011;18%
Death Bell;2008;
The Last Days on Mars;2013;18%
Monsters University;2013;
Pawn Shop Chronicles;2013;18%
Narcopolis;2015;18%
Pixels;2015;18%
Kattradhu Thamizh;2007;
The Single Moms Club;2014;18%
Untold: Deal with the Devil;2021;
Big Sky;2015;18%
Agnosia;2010;
The Bunny Game;2011;
Devil's Due;2014;18%
Strange Magic;2015;18%
Aiyaary;2018;18%
The Killer;2021;
The Devil and Max Devlin;1981;18%
Street Days;2010;
Haunted Honeymoon;1986;18%
Bloodwork;2012;
Yahsi Bati;2009;
If Lucy Fell;1996;18%
Chapter 27;2007;18%
Dark Space;2013;
Veda - Ataturk;2010;
71: Into the Fire;2010;
Mutant Girls Squad;2010;
Superheroes;2010;
Ooriki Uttharana;2021;
